,venue_id,venue_name,event_id,event_name,avg_price,season,genre,subgenre,ticket_limit,age_restriction,venue_size,promoter
153,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9g2HLb8_,Zeneth,18.0,fall,Rock,Alternative Rock,8.0,False,500,CROSSROADS PRESENTS
154,KovZ91770kV,Boston Gliderdrome,G5dfZ9VMe_pue,Scouting for Girls,31.35,fall,Rock,Pop,46.0,False,3100,S.J.M. LTD
155,KovZpZA1J7JA,Orpheum Theatre presented by Citizens,vvG17Z9UB9AvGI,Blue October,64.5,spring,Rock,Alternative Rock,6.0,False,2700,LIVE NATION MUSIC
158,KovZpa2gne,TD Garden,vvG17Z9wSPJ480,Dan + Shay: Heartbreak On The Map Tour,99.5,spring,Country,Country,8.0,False,19580,LIVE NATION MUSIC
159,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9iLP6kS8,Bailey Zimmerman: RELIGIOUSLY. THE TOUR.,89.375,spring,Country,Country,4.0,False,5000,LIVE NATION MUSIC
160,KovZpa2gne,TD Garden,vvG17Z9S0kuJyv,Ms. Lauryn Hill & Fugees: Miseducation of Lauryn Hill 25th Anniv. Tour,179.5,fall,R&B,R&B,6.0,False,19580,PROMOTED BY VENUE
161,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9m69r_AD,Meshuggah with Special Guests In Flames and Whitechapel,35.5,fall,Metal,Nu-Metal,8.0,False,5000,LIVE NATION MUSIC
162,KovZpa2gne,TD Garden,vvG17Z9wRptSDu,Tim McGraw: Standing Room Only Tour 2024,129.625,spring,Country,Country,8.0,False,19580,LIVE NATION MUSIC
163,KovZpa2gne,TD Garden,vvG17Z9VlVgA1U,Elevation Worship & Steven Furtick,71.25,winter,Religious,Gospel,8.0,False,19580,PROMOTED BY VENUE
164,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9wMC904T,Brett Eldredge: Glow Live Tour,61.75,fall,Country,Country,8.0,False,5000,LIVE NATION MUSIC
165,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9UzuqUVT,Cody Jinks & Turnpike Troubadours,81.75,winter,Country,Country,8.0,False,5000,LIVE NATION MUSIC
166,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9wRmwglm,Subtronics Tesseract Tour 2024 - Boston,46.5,winter,Dance/Electronic,Witchstep,8.0,False,5000,LIVE NATION MUSIC
167,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9gmUsf8g,Bryson Tiller,78.5,fall,Hip-Hop/Rap,French Rap,6.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
169,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9Y9ojExg,The Elovaters - Endless Summer Tour With Shwayze And Surfer Girl,43.5,winter,Reggae,Reggae,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
170,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9SNILAjy,Beartooth: 2024 North American Tour,43.5,winter,Metal,Nu-Metal,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
171,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9sM4sxLy,Excision: Nexus Tour,66.5,spring,Dance/Electronic,Witchstep,8.0,False,5000,LIVE NATION MUSIC
172,KovZ917AxdQ,Big Night Live,vvG17Z9Re7nosj,FLATBUSH ZOMBIES - BetterOffDead 10 Year Anniversary,32.0,fall,Hip-Hop/Rap,French Rap,8.0,False,2000,LIVE NATION MUSIC
173,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9SRc7ULi,Oliver Tree Presents Alone In A Crowd,69.25,winter,Dance/Electronic,Witchstep,6.0,False,5000,LIVE NATION MUSIC
174,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9l5sMIQX,"Dylan Scott: ""This Town's Been Too Good To Us"" Tour",38.0,fall,Country,Country,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
175,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9wRmS4lD,Subtronics Tesseract Tour 2024 - Boston,46.5,winter,Dance/Electronic,Witchstep,8.0,False,5000,LIVE NATION MUSIC
176,KovZpZAEAdEA,Leader Bank Pavilion,vvG17Z9SwLbeex,Jordan Davis: Damn Good Time World Tour,70.5,summer,Country,Country,48.0,False,5000,LIVE NATION MUSIC
177,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9Ur4ReQx,Judas Priest,66.5,spring,Metal,Nu-Metal,8.0,False,5000,LIVE NATION MUSIC
178,KovZpZA1J7JA,Orpheum Theatre presented by Citizens,vvG17Z9YAZpHez,Ashley McBryde: The Devil I Know Tour,48.0,fall,Country,Country,8.0,False,2700,LIVE NATION MUSIC
179,KovZpZAFd1nA,Agganis Arena,vvG17Z9I9k6Kwb,Jhayco - Vida Rockstar Tour,95.37,winter,Latin,Latin,10.0,False,7200,PROMOTED BY VENUE
180,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9SRgHpV-,Jacob Collier - DJESSE VOL. 4 NORTH AMERICA TOUR,51.5,spring,Jazz,Jazz,4.0,False,5000,LIVE NATION MUSIC
181,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9s6UObpt,Mora,64.0,fall,Other,Other,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
182,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9wMh4AQy,Boyz II Men,61.5,winter,R&B,R&B,8.0,False,5000,LIVE NATION MUSIC
183,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9VS2cNWt,Machine Head (18+),35.0,winter,Metal,Nu-Metal,8.0,True,933,CROSSROADS PRESENTS
184,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9sN5H6yB,Dalton & the Sheriffs,27.5,winter,Country,Country,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
185,KovZ917AxdQ,Big Night Live,vvG17Z9YzVdbbV,MorFlo Records & OffBeat present Mersiv - Out of Bounds Tour ( 18+ ),24.5,fall,Dance/Electronic,Witchstep,8.0,True,2000,LIVE NATION MUSIC
186,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9YXKPvKP,LP Giobbi: Light Places Tour (18+),27.0,fall,Dance/Electronic,Witchstep,4.0,True,500,CROSSROADS PRESENTS
187,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9U1WNU0K,Municipal Waste Brainsqueeze Tour (18+),25.0,winter,Metal,Nu-Metal,8.0,True,933,CROSSROADS PRESENTS
188,KovZpZAEAdEA,Leader Bank Pavilion,vvG17Z9wivTkDZ,Dustin Lynch: Killed The Cowboy Tour With Special Guest Skeez,49.5,spring,Country,Country,8.0,False,5000,LIVE NATION MUSIC
189,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9wB4RvTs,Beach Weather: Pineapple Sunrise The Tour,20.0,spring,Dance/Electronic,Witchstep,8.0,False,500,CROSSROADS PRESENTS
191,KovZpZAEAIvA,The Wilbur,vvG17Z9bfg2Ew2,Buddy Guy: Damn Right Farewell,100.0,spring,Blues,Blues,8.0,False,1200,COMEDY CONNECTION
192,KovZ917AxdQ,Big Night Live,vvG17Z9sDcUp0x,Adventure Club: Death or Glory II Tour ( 21+ ),35.0,fall,Dance/Electronic,Witchstep,8.0,True,2000,LIVE NATION MUSIC
193,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9U5o8Enk,"Rad Museum, Miso, Tabber 'you.will.knovv' North America Tour",40.0,winter,R&B,R&B,8.0,False,933,CROSSROADS PRESENTS
194,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9sMI1Sa2,Briston Maroney: Ultrapure Tour,25.0,winter,Folk,Indie Folk,8.0,False,933,CROSSROADS PRESENTS
195,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9UjtGnpo,SiM: PLAYDEAD World Tour,31.0,spring,Metal,Nu-Metal,4.0,False,933,CROSSROADS PRESENTS
196,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9U9TXzeW,Boston Country Music Festival: Zeze Di Camargo,171.5,winter,Country,Country,8.0,False,5000,LIVE NATION MUSIC
197,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9VRiaJCq,MIGHTY MYSTIC Winter Reggae Splash (18+),25.0,winter,Reggae,Reggae,8.0,True,500,CROSSROADS PRESENTS
198,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9V1D6s2C,Zakk Sabbath (18+),35.0,winter,Undefined,Undefined,8.0,True,933,CROSSROADS PRESENTS
199,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9SEb30xE,Majid Jordan  - Good People Live (18+),35.0,fall,Dance/Electronic,Witchstep,6.0,True,933,CROSSROADS PRESENTS
