,venue_id,venue_name,event_id,event_name,avg_price,season,genre,subgenre,ticket_limit,age_restriction,venue_size,promoter
37,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9s7KFQ6y,Keane,49.25,fall,Rock,Alternative Rock,6.0,False,5000,LIVE NATION MUSIC
38,KovZpZAEAdEA,Leader Bank Pavilion,vvG17Z9gM1Igj4,O.A.R. Summer Tour 24 with special guest Fitz and the Tantrums,64.5,summer,Rock,Alternative Rock,8.0,False,5000,LIVE NATION MUSIC
40,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9VLipP_W,Dropkick Murphys,58.0,winter,Rock,Alternative Rock,8.0,False,5000,LIVE NATION MUSIC
41,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9gxlN9mU,flipturn,35.5,spring,Rock,Alternative Rock,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
42,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9V6rae6Y,LANY - a beautiful blur: the world tour 2024,66.5,spring,Rock,Pop,6.0,False,5000,LIVE NATION MUSIC
43,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9sjY8DQS,Aqua World Tour,62.5,fall,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
45,KovZpZAJd6FA,Boch Center Wang Theatre,vvG17Z9SlqhNOO,Frankie Valli & The Four Seasons: The Last Encores,119.0,spring,Rock,Oldies & Classics,8.0,False,3500,PROMOTED BY VENUE
46,KovZpZAEAdEA,Leader Bank Pavilion,vvG17Z9VScUgKH,Jason Mraz: The Mystical Magical Rhythmical Radical Ride,64.5,summer,Rock,Alternative Rock,4.0,False,5000,LIVE NATION MUSIC
47,KovZpZAFd1nA,Agganis Arena,vvG17Z9V1PO-d5,Morat - Si Ayer Fuera Hoy,139.5,winter,Pop,Pop,6.0,False,7200,LIVE NATION MUSIC
48,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9RdRaJEK,Dogstar: Somewhere Between The Power Lines & Palm Trees Tour (18+),40.0,fall,Rock,Alternative Rock,4.0,True,933,CROSSROADS PRESENTS
49,KovZpa2gne,TD Garden,vvG17Z9SQlettQ,Burna Boy: I Told Them Tour,149.5,winter,Hip-Hop/Rap,French Rap,6.0,False,19580,LIVE NATION MUSIC
50,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9VRvWSTs,+++ (Crosses) - Familiar World Tour,51.0,winter,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
51,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9g2A64uy,BoyWithUke - Lucid Dreams Tour,37.5,spring,Pop,Pop,6.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
52,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9SEKG0oM,The Kooks - Inside In / Inside Out Tour,44.25,winter,Rock,Pop,4.0,False,5000,LIVE NATION MUSIC
53,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9VESeNXC,Waterparks,52.0,winter,Rock,Pop,8.0,False,5000,LIVE NATION MUSIC
54,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9g2vb0X7,The Saw Doctors,66.5,summer,Rock,Pop,8.0,False,5000,LIVE NATION MUSIC
55,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9VbOnafr,Dropkick Murphys,60.0,winter,Rock,Alternative Rock,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
56,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9wDrJyvJ,bea miller - gauche tour,35.0,fall,Pop,Pop,8.0,False,933,CROSSROADS PRESENTS
57,KovZpZA1J7JA,Orpheum Theatre presented by Citizens,vvG17Z9U2ebzKu,Satch Vai Us Tour: Joe Satriani & Steve Vai,85.75,spring,Rock,Pop,8.0,False,2700,LIVE NATION MUSIC
58,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9YlCVfCi,Story Of The Year: 20 Years Of Page Avenue,38.5,winter,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
59,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9sN66MlA,Buffalo Tom 18+,35.0,fall,Rock,Pop,8.0,True,933,CROSSROADS PRESENTS
60,KovZpZAFd1nA,Agganis Arena,vvG17Z9S1W13Nl,Mix 104.1 Presents Audacy Deck The Hall Ball starring Jelly Roll,87.25,fall,Country,Country,8.0,False,7200,LIVE NATION MUSIC
61,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9wkPZeEN,Cold War Kids - 20 Years Tour,43.5,winter,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
62,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9gCo1-b3,Grace Potter,49.25,winter,Rock,Pop,8.0,False,5000,LIVE NATION MUSIC
63,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9SiZd6-z,Josiah & the Bonnevilles: Endurance Tour,17.0,spring,Rock,Pop,4.0,False,933,CROSSROADS PRESENTS
64,KovZpZA1J7JA,Orpheum Theatre presented by Citizens,vvG17Z9UEbmPbZ,Belle & Sebastian,63.0,spring,Rock,Alternative Rock,8.0,False,2700,LIVE NATION MUSIC
65,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9gTtSUzJ,HOLLY HUMBERSTONE - The Holly Humberstone Show,25.0,spring,Rock,Alternative Rock,4.0,False,933,CROSSROADS PRESENTS
66,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9wHrxt0L,Sky Ferreira,34.5,fall,Rock,Pop,8.0,False,933,CROSSROADS PRESENTS
